domain,split,label,source_file,source_url,destination,width,height,bytes,sha256
attacker,train,beagle,beagle_101.jpg,https://raw.githubusercontent.com/ml4py/dataset-iiit-pet/master/images/beagle_101.jpg,attacker/train/beagle/beagle_101.jpg,500,334,89610,ba16f93703b364e0c4a510f5d94ce99c2b5b0fa906b6a2aeb3bd9dc82b81f943
attacker,train,beagle,beagle_108.jpg,https://raw.githubusercontent.com/ml4py/dataset-iiit-pet/master/images/beagle_108.jpg,attacker/train/beagle/beagle_108.jpg,333,500,98968,e3aa7c322a812e7299d542de21819a49f1c38897a02bf98439b58da46b6e8350
attacker,train,beagle,beagle_112.jpg,https://raw.githubusercontent.com/ml4py/dataset-iiit-pet/master/images/beagle_112.jpg,attacker/train/beagle/beagle_112.jpg,333,500,104870,fa9289fe745868407139f0aacc9b8f1da2253559d36a2781275acf1388ff6806
attacker,train,beagle,beagle_113.jpg,https://raw.githubusercontent.com/ml4py/dataset-iiit-pet/master/images/beagle_113.jpg,attacker/train/beagle/beagle_113.jpg,333,500,104360,3ad038ff3abb23b58eb9c4aab2f3decbb2a4127eb9c222a898122f944c8fa63b
attacker,train,beagle,beagle_114.jpg,https://raw.githubusercontent.com/ml4py/dataset-iiit-pet/master/images/beagle_114.jpg,attacker/train/beagle/beagle_114.jpg,424,500,112139,41cddfd68c188f75155b81a80daabfaba68e00224efb751945b7eaf3e6243e47
attacker,train,beagle,beagle_115.jpg,https://raw.githubusercontent.com/ml4py/dataset-iiit-pet/master/images/beagle_115.jpg,attacker/train/beagle/beagle_115.jpg,500,343,172527,d39a32de899a26d86837d53e190b914a99e733ffe96787033b5e48ed5ddc972b
attacker,train,beagle,beagle_121.jpg,https://raw.githubusercontent.com/ml4py/dataset-iiit-pet/master/images/beagle_121.jpg,attacker/train/beagle/beagle_121.jpg,500,375,131875,b8c0f4bbd3fc558acb3b5683753fe6ee0594232009bfa28af9856d238e3adc9a
attacker,train,beagle,beagle_124.jpg,https://raw.githubusercontent.com/ml4py/dataset-iiit-pet/master/images/beagle_124.jpg,attacker/train/beagle/beagle_124.jpg,500,333,93170,ca763ea8fdeae7d19a51c8cc9795e6ecf887ea3ca2f6a6c0b8897caf249910d9
attacker,train,beagle,beagle_127.jpg,https://raw.githubusercontent.com/ml4py/dataset-iiit-pet/master/images/beagle_127.jpg,attacker/train/beagle/beagle_127.jpg,329,500,85862,d8c77285daab0d2008d4d27f0503c65b016d6b08e88ce86621f962aadcf0a00a
attacker,train,beagle,beagle_135.jpg,https://raw.githubusercontent.com/ml4py/dataset-iiit-pet/master/images/beagle_135.jpg,attacker/train/beagle/beagle_135.jpg,360,240,20413,3bd998185509892c7d7d8cca50331d319cae08fb52cfc85e88291ed5eebf75ff
